country,sector,fuel,issue_code,year_start,year_end,issue,description,flag_drop,tot_drop,fuel_keep,grey,geo_change,fiscal_year,ex_ex
BEL,supply,electricity,data availability,1987,2012,data available,production of electricity from wind is available from 1987,,,,,,,
FRA,Non-specified other,electricity,combined sectors,1971,1991,,"Non-specified other consumption includes exports to Monaco prior to 1992 and defence-related activities, among others.",1,1,0,,,,
DEU,Non-specified other,naturalgas,data availability,2003,2012,,"Since 2003, consumption in agriculture and nonspecified other, which were previously estimated, are no longer shown, and losses data have been included in statistical differences.",1,1,0,,,,
DEU,Agriculture,naturalgas,data availability,2003,2012,,"Since 2003, consumption in agriculture and nonspecified other, which were previously estimated, are no longer shown, and losses data have been included in statistical differences.",1,1,0,,,,
ISL,Non-specified other,electricity,,2005,2012,,The consumption of electricity reported in nonspecified other corresponds to a NATO base at Keflavik airport which closed in 2005.,,,,,,,
CAN,Agriculture,electricity,methodology change,1971,1973,time series break,,,,,,,,
EST,Agriculture,electricity,methodology change,1971,2007,time series break,,,,,,,,
EST,Forestry,electricity,methodology change,1971,2007,time series break,,,,,,,,
FRA,Agriculture,electricity,methodology change,2004,2012,time series break,,,,,,,,
NLD,Agriculture,geothermal heat,real anomaly,2008,2012,time series break,Direct use of geothermal heat in agriculture/ forestry starting in 2008 is due to a new project extracting deep geothermal heat.,,,,,,,
DNK,Fishing,oil,combined sectors,1971,1989,,"Prior to 1990, gas/diesel oil and fuel oil consumption for fishing are included in domestic navigation",1,1,0,,,,
TUR,Fishing,oil,data availability,1971,2013,data availability,"From 2014, information on gas/diesel consumption in fishing is available.",,,,9,,,
CHE,,oil,climate data,1971,2012,inconsistent geography,other energy is made up of a lot of fuels so a different geographic region for oil causes issues for constructing climate data,,,,9,,,
MMR,,,climate data,1971,2012,fiscal years,can't construct climate data because unclear what a fiscal year means,,,,9,,,
DNK,,oil,climate data,1971,1989,inconsistent geography,other energy is made up of a lot of fuels so a different geographic region for oil causes issues for constructing climate data,,,,9,,,
TZA,,oil,climate data,1971,2012,inconsisten geography,other energy is made up of a lot of fuels so a different year for oil causes issues for constructing climate data,,,,9,,,
GRL,,oil,climate data,1971,1989,inconsistent geography,other energy is made up of a lot of fuels so a different geographic region for oil causes issues for constructing climate data,,,,9,,,
ALB,,,,2011,2012,change in reporting,no estimates -- differing source 2011-2015,,,,,,,
ALB,residential,,combined fuels,2011,2012,change in reporting,motor gasoline consumption reported in residential sector,1,1,0,0,,,
ARE,,allbutbiofuels,data source change,1971,1992,,differing source <=1992,,,,,,,
ARE,,allbutbiofuels,extrapolation,1993,2012,,"differing source 1993 to 2015, including IEA estimates",,,,,,,0
ARE,,,ex-post revision,2007,2012,time series break,revised data on electricity imports and exports,,,,0,,,
ARE,,oil,ex-post revision,2009,2012,time series break,data revision,,,,0,,,
ARE,,naturalgas,ex-post revision,2011,2012,time series break,data revision,,,,0,,,
ARM,,biofuelsandwaste,extrapolation,1971,2012,only source estimated data,,,,,,,,
ARM,,,extrapolation,1990,1991,only source estimated data,,,,,,,,1
ARM,,,data availability,1990,2012,data availability begins in 1990,prior to 1990 data included in Former Soviet Union,,,,1,,,
ARM,,,extrapolation,1992,2012,1/3 sources estimated,1992-2013,,,,,,,
AUS,,biofuelsandwaste,data availability,1971,2003,missing data,data for biogasoline not available before 2003,,,,9,,,
AUS,,biofuelsandwaste,data availability,1971,2004,missing data,data for biodiesel not available before 2004,,,,9,,,
AUS,industrial,electricity,combined sectors,1971,2005,reporting change,"before 2006, electricity consumption in mining and quarrying includes liquefaction/regasification of plants",1,1,1,,,,
AUS,residential,solarandgeothermal,data availability,1974,2012,data available,direct use of solar heat is available from 1974,,,,1,,,
AUS,,heat,data availability,1992,2012,missing data,"from 1992, heat data is not available.",,,,9,,,
AUS,,naturalgas,extrapolation,1999,2000,estimated data,End-use consumption are estimated by the Australian administration,,,,,,,1
AUS,,naturalgas,methodology change,1971,2001,time series break,break in consumption time series between 2001 and 2002 due to changes in methodology,,,,,,,
AUS,industrial,naturalgas,methodology change,2002,2012,,Break in timeseries from 2001-2002. Industry structural shift and changes in methodology,,,,,,,
AUS,,coal,ex-post revision,2003,2011,,2003-2011. Net increase in quantity of primary coal due to reclassification,,,,0,,,
AUS,,,data source change,2003,2012,,Break in timeseries from 2002-2003. Adoption of NGER as energy consumption data source,,,,,,,
AUS,,coal,data source change,1971,2008,time series break,change of survey caused time series break between 2008 and 2009,,,,,,,
AUS,,oil,ex-post revision,1971,2009,time series break,revision of oil supply/demand results in time series break between 2009-2010,,,,0,,,
AUS,,biofuelsandwaste,ex-post revision,1971,2009,time series break,time series break between 2009 and 2010 for solid biofuels consumption. data revised back to 2010,,,,0,,,
AUS,,naturalgas,ex-post revision,1971,2009,time series break,"demand data revised back to 2010, resulting in time series break between 2009 and 2010",,,,0,,,
AUS,,coal,ex-post revision,1971,2009,time series break,revisions until 2010 results in break in time series between 2009 and 2010,,,,0,,,
AUS,,naturalgas,methodology change,1971,2009,time series break,2009-2010: breaks may happen due to changes in methodologies,,,,0,,,
AUS,industrial,coal,ex-post revision,2010,2012,reporting change,>=2010: increases in quantities of subbituminous coal,,,,0,,,
AUS,,electricity,ex-post revision,2010,2012,,Break in timeseries from 2009-2010. Revision by the Aus administration,,,,0,,,
AUS,industrial,coal,ex-post revision,2010,2012,reporting change,>=2010: decreases in quantities of other bituminous coal,,,,0,,,
AUT,commercial,electricity,combined sectors,1971,1990,reporting change,"before 1990, consumption of electricity in supply, district heating and water supply was included in commercial/public services",1,1,0,,,,
AUT,,electricity,combined sectors,1971,1990,reporting change,"before 1991, electricity consumption in iron and steel industry includes consumption in coke ovens and blast furnaces",1,1,0,,,,
AUT,,biofuelsandwaste,extrapolation,1986,1989,,Year 1986-1989,,,,,,,0
AUT,,biofuelsandwaste,extrapolation,1986,1989,,Year 1986-1989,,,,,,,0
AUT,,biofuelsandwaste,extrapolation,1986,1989,,Year 1986-1989,,,,,,,0
AUT,,biofuelsandwaste,extrapolation,1986,1989,,Year 1986-1989,,,,,,,0
AUT,residential,electricity,combined sectors,1990,2009,reporting change,"from 1990 to 2009, small amounts of electricity used in heat pumps have been included in the residential sector",1,1,0,,,,
AUT,,,methodology change,1990,2012,,Breaks in timeseries for 1989-1990. Enhanced reporting as a consequence of Austrian Energy Efficiency Act,,,,,,,
AUT,,coal,real anomaly,2004,2004,anomaly,lignite mine closed in second quarter of 2004,,,,,,,
AUT,,naturalgas,ex-post revision,2005,2012,,Year>=2005. Revision by administration,,,,0,,,
AUT,industrial,coal,ex-post revision,2005,2012,,Year>=2005. Revisions concerning iron and steel industry,,,,0,,,
AUT,industrial,coal,ex-post revision,2005,2012,,Year>=2005. Revisions concerning iron and steel industry,,,,0,,,
AUT,,,methodology change,2005,2012,,Breaks in timeseries for 2004-2005. Enhanced reporting as a consequence of Austrian Energy Efficiency Act,,,,,,,
AZE,,biofuelsandwaste,extrapolation,1971,1999,estimated data,,,,,,,,1
AZE,,oil,extrapolation,1990,2006,,1990-2006 (based on total aviation consumption reported by AZE and its 2007 allocation),,,,,,,1
AZE,,,data availability,1990,2012,prior to 1990 data included in the former soviet union,,,,,1,1,,
BEL,,biofuelsandwaste,data availability,1971,2009,data not available,data on biofuels are not available before 2009,,,,9,,,
BEL,,heat,ex-post revision,1971,1991,time series break,breaks in time series between 1991 and 1992 for heat consumption in chemical and non specified industry,,,,0,,,
BEL,,oil,real anomaly,1993,2012,decrease in industry consumption,decrease of fuel oil is due to introduction of an excise tax as well as increase use of natural gas,,,,,,,
BEL,,naturalgas,methodology change,1995,2012,reporting change,the Belgian administration re- vised consumption in the energy sector and the chemical industry since 1995,,,,,,,
BEL,industrial,coal,real anomaly,1996,2012,,Year =1996. Usage stopped in chemical and petro-chemical activities,,,,,,,
BEL,,coal,real anomaly,2002,2002,decrease in consumption,decrease of other bitumious coal and coke oven coke in iron and steel industry in 2002 is due to closure of several plants,,,,,,,
BEL,,electricity,ex-post revision,1971,2007,time series break,breaks in time series between 2007 and 2008 due to revisions of NACE classifications,,,,0,,,
BEL,industrial,heat,real anomaly,2007,2012,,Year>=2007. No heat consumption in iron and steel industry,,,,,,,
BEL,,heat,ex-post revision,2008,2012,,Breaks in timeseries for 2007-2008. Revisions of NACE classifications,,,,0,,,
BEL,,biofuelsandwaste,data availability,2009,2012,data available,data for biodiesels and biogasoline are available starting in 2009,,,,1,,,
BEL,,oil,methodology change,2009,2012,,Year >=2009. Administration reviewed and improved methodology for reporting,,,,,,,
BEL,industrial,naturalgas,ex-post revision,2010,2012,,"Year >=2010. Administration revised consumption in transport, industry and other sectors",,,,0,,,
BEL,,biofuelsandwaste,data availability,2012,2012,,Breaks in timeseries for 2011-2012. New data on consumption,,,,0,,,
BEL,,electricity,extrapolation,2012,2012,estimated data,"for 2012, electricity consumption in the mining and quarrying sector has been estimated by the IEA Secretariat",,,,,,,1
BEN,,biofuelsandwaste,data source change,1971,1995,,differing source <= 1995,,,,,,,
BEN,,biofuelsandwaste,extrapolation,1971,1995,,<=1995 (based on 1991 data),,,,,,,1
BEN,,,extrapolation,1971,1998,estimated data,1/5 estimated,,,,,,,
BEN,,,ex-post revision,1971,2010,time series break,between 2010 and 2011,,,,0,,,
BEN,,,extrapolation,1999,2012,estimated data,1/3 estimated,,,,,,,
BEN,,,ex-post revision,2011,2012,,time series break between 2010 and 2011,,,,0,,,
BGD,,oil,ex-post revision,1971,2004,time series break,time series break between 2004 and 2005,,,,0,,,
BGD,,electricity,ex-post revision,1971,2007,time series break,time series break between 2007 and 2008,,,,0,,,
BGD,,,,1971,2012,data reported on a fiscal year basis,,,,,,,1,
BGD,,,extrapolation,1996,2007,estimated data,1/3 estimated,,,,,,,
BGD,,,extrapolation,2008,2012,estimated data,1/9 estimated,,,,,,,
BHR,industrial,oil,extrapolation,2000,2012,time series break,petroleum coke in the manufacture of aluminium ahve been made to track this consumption from 2000 onwards,,,,,,,
BIH,,electricity,,1971,2007,time series break,break between 2007 and 2008,,,,,,,
BIH,,heat,,1971,2007,time series break,break between 2007 and 2008,,,,,,,
BIH,,,,1971,2008,time series break,break between 2008 and 2009,,,,,,,
BIH,,,data availability,1990,2012,prior to 1990 data included in the former soviet union,,,,,1,1,,
BIH,,,extrapolation,2006,2008,estimated data,1/3 estimated,,,,,,,
BIH,,coal,data availability,2009,2012,,time series break between 2008 and 2009,,,,0,,,
BIH,,naturalgas,data availability,2009,2012,,time series break between 2008 and 2009,,,,0,,,
BIH,,,extrapolation,2009,2012,estimated data,1/5 estimated,,,,,,,
BLR,,,data availability,1990,2012,prior to 1990 data included in the former soviet union,,,,,1,1,,
BLR,,,data source change,1990,2012,change in reporting,0/2 estimated -- differing sources 1990-2015,,,,,,,
BLR,supply,oil,real anomaly,2010,2012,decrease in supply,customs fee,,,,,,,
BOL,,biofuelsandwaste,methodology change,1971,2009,time series break,time series break between 2009 and 2010,,,,,,,
BRA,,coal,extrapolation,1971,1999,estimated data,,,,,,,,1
BRA,,biofuelsandwaste,extrapolation,1971,1999,,1971-1999,,,,,,,
BRA,industrial,biofuelsandwaste,combined sectors,1971,2012,transformation and final consumption combined,,1,1,0,,,,
BRN,,,data source change,1992,2005,change in reporting,,,,,,,,
BWA,,,data availability,1981,2012,included in Other Africa prior to 1981,,,,,1,1,,
BWA,,,data source change,1981,2012,change in reporting,1/9 estimated -- differing sources 1981-2015,,,,,,,
CAN,industrial,naturalgas,combined sectors,1971,1977,combined subsectors,"before 1978, consumption in non-specified industry includes gas used as fuel in oil refineries",1,1,0,,,,
CAN,industrial,naturalgas,data availability,1971,1989,data not available,before 1990 data for consumption of natural gas for construction is not available,,,,9,,,
CAN,industrial,electricity,ex-post revision,1971,1987,time series break,break in time series between 1987 and 1988 for industry,,,,0,,,
CAN,,biofuelsandwaste,extrapolation,1990,2004,estimated data,"IEA estimated data for biogases, industrial and municipal waste from 1990 - 2004 base on info supplied by Natural Resources Canada",,,,,,,1
CAN,,,methodology change,1990,2012,,Breaks in time series 1989-1990. Changes in methodology,,,,,,,
CAN,,naturalgas,ex-post revision,1971,2004,time series break,revisions back to 2005 created a time series break between 2004 and 2005,,,,0,,,
CAN,,coal,ex-post revision,2004,2011,,Year 2004-2011. Revisions to timeseries,,,,0,,,
CAN,,coal,data availability,2005,2012,data available,improvements in data collection gave way to more data available between 2005 to 2015,,,,0,,,
CAN,,electricity,ex-post revision,2005,2012,possible breaks in time series,revisions back to 2005 on inputs and outputs of power plants as well as breakdown of final electricity consumption,,,,0,,,
CAN,,,ex-post revision,2005,2012,,Year >=2005. Revision of timeseries,,,,0,,,
CAN,,naturalgas,ex-post revision,2005,2012,,Breaks in time series 2004-2005,,,,0,,,
CAN,industrial,naturalgas,extrapolation,2011,2012,,Year 2011-2014. Administration estimated consumption data for refined petroleum products,,,,,,,1
CAN,industrial,naturalgas,extrapolation,2011,2012,,"Year 2011-2014. Administration estimated consumption data for iron, steel, aluminum, non-ferrous metal manufacturing",,,,,,,1
CAN,commercial,electricity,methodology change,2011,2012,time series break,revision of electricity consumption for 2012 according to a new methodology causes a break in times series between 2011 and 2012,,,,,,,
CAN,industrial,heat,data availability,2012,2012,data unavailable,"starting from 2012, heat consumption became confidential",,,,9,,,
CAN,commercial,electricity,methodology change,2012,2012,,Break in timeseries 2011-2012. Revision of consumption for commercial and public services,,,,,,,
CAN,industrial,naturalgas,real anomaly,2012,2012,increase in consumption,increase in consumption by non-metallic mineral production is due to switching from coal to natural gas,,,,,,,
CHE,,heat,data availability,1971,2012,direct use is overstated,no time specification,,,,0,,,
CHE,,naturalgas,methodology change,1978,2012,,level differences for year <= 1977,,,,,,,
CHE,,naturalgas,methodology change,1978,2012,,year >= 1978: new survey,,,,,,,
CHE,,heat,data availability,1990,2012,newly available data,from 1990,,,,1,,,
CHE,,heat,data availability,1990,2012,newly available data,from 1990,,,,1,,,
CHE,,oil,real anomaly,1994,2012,increase in consumption,"in 1994, the increase in consumption is due to consumer stock-building prior to the intro of a value-added excise tax on heating fuels as of 1 Jan 1995",,,,,,,
CHE,,,methodology change,1999,2012,,"year >= 1999: new survey, not comparable with previous data",,,,,,,
CHE,,biofuelsandwaste,real anomaly,2006,2012,decrease in demand,in 2006,,,,,,,
CHE,,naturalgas,real anomaly,2007,2007,decrease in demand,reduced operation of one plant after the start up of a new waste incineration plant and the shutting down of another plant. Use increases again in 2008 due to the re-starting of a district heating plant,,,,,,,
CHE,,biofuelsandwaste,real anomaly,2007,2012,increase in demand,in 2007,,,,,,,
CHL,,biofuelsandwaste,extrapolation,1971,2012,,Year <=2013. Charcoal consumption,,,,,,,1
CHL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009. By administration,,,,,,,
CHN,,,data source change,1971,1990,change in reporting,,,,,,,,
CHN,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/1 estimated,,,,,,,1
CHN,,biofuelsandwaste,extrapolation,1997,2012,,>=1997,,,,0,,,1
CHN,,,ex-post revision,2000,2010,,time series break between 1999 and 2000,,,,0,,,
CIV,,,extrapolation,2002,2004,estimated data,1/1 estimated,,,,,,,1
CIV,,,extrapolation,2005,2008,estimated data,1/3 estimated,,,,,,,
CIV,,,extrapolation,2009,2012,estimated data,1/2 estimated,,,,,,,
CMR,,electricity,ex-post revision,2012,2012,,time series break between 2011 and 2012,,,,0,,,
COG,,biofuelsandwaste,,1971,2012,estimated data,1/2 estimated,,,,,,,
COG,,,ex-post revision,2000,2012,,time series break between 1999 and 2000,,,,0,,,
CRI,,,,1971,2012,estimated data,1/3 estimated,,,,,,,
CUB,,,real anomaly,1992,2012,,Breaks in time series in early 90s are assumed due to codification of embargo imposed on Cuba in 1992,,,,,,,
CUW,,oil,real anomaly,2010,2012,time series break,Isla refinery did not operate at its maximum cpacity in 2010,,,,,,,
CUW,,,real anomaly,2012,2012,change in geographic region,"From 2012 onwards, data now account for the energy statistics of CUracao Island only",,,,,1,,
CYP,,biofuelsandwaste,ex-post revision,1971,2008,time series break,between 2008 and 2009,,,,0,,,
CYP,,,data source change,1993,2012,change in reporting,,,,,,,,
CZE,,oil,extrapolation,1971,1994,estimated data,"before 1994, data are estimated by IEA",,,,,,,1
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,,biofuelsandwaste,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,,biofuelsandwaste,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,residential,biofuelsandwaste,methodology change,1990,2012,,Year >=1990. Consumption in residential sector revised upwards,,,,,,,
CZE,,electricity,methodology change,1990,2012,,Breaks in timeseries 1989-1990. Data submitted by Czech adminstration,,,,,,,
CZE,commercial,coal,real anomaly,1990,2012,time series break,"due to economic restructuring in consumption in the late 1990s, there may be breaks in time series ",,,,,,,
CZE,,biofuelsandwaste,data availability,1992,2012,,Year<1992. Data unavailable,,,,1,,,
CZE,,naturalgas,methodology change,1994,2012,,Year 1993-1994. Change in energy balance methodology,,,,,,,
CZE,,oil,methodology change,1971,1998,time series break,new data management system led to breaks in consumption time series between 1998 and 1999,,,,,,,
CZE,,naturalgas,real anomaly,1971,1998,time series break,restructuring of Czech electricity market leads to breaks in tim series in all sector between 1998 and 1999,,,,,,,
CZE,,biofuelsandwaste,methodology change,1999,2001,,Breaks in timeseries 1999. New survey system,,,,,,,
CZE,,oil,data availability,1999,2012,,Year 1998-1999. New data management system implemented by the administration.,,,,0,,,
CZE,,biofuelsandwaste,real anomaly,1999,2012,,Breaks in timeseries 1998-1999. Restructuring of Czech electricity markets,,,,,,,
CZE,,coal,ex-post revision,1971,2001,time series break,revisions by the Czech administration have resulted in some breaks in time series betwen 2001 and 2002,,,,0,,,
CZE,,biofuelsandwaste,methodology change,2002,2002,,Breaks in timeseries 2002. New survey system,,,,,,,
CZE,,electricity,data availability,2003,2012,,Year >=2003 data only available,,,,1,,,
CZE,,electricity,data availability,1971,2009,time series break,"as a result of having new administrative data, there are breaks in time series between 2009 and 2010",,,,0,,,
CZE,,coal,ex-post revision,1971,2009,time series break,revised data may cause breaks in time series,,,,0,,,
CZE,,coal,methodology change,1971,2009,new survey causes break in residential consumption time series,coal consumption in the residential sector has been revised due to new survey data creating time series breaks between 2009 and 2010,,,,,,,
CZE,industrial,oil,ex-post revision,2010,2012,revisions to data,,,,,0,,,
CZE,,coal,ex-post revision,2010,2012,,Year 2010-2012. Improved reporting for certain primary coal consumption flows,,,,0,,,
DEU,,naturalgas,extrapolation,1971,1994,end-use consumption data are estimated,"prior to 1995, end-use consumption data are based on Arbeitsgemeinschaft Energiebilanzen.",,,,,,,0
DEU,,coal,extrapolation,1971,2012,,Partly estimated by administration,,,,,,,
DEU,,oil,methodology change,1994,2012,,Year >=1994. Final consumption by individual sector improved due to new survey,,,,,,,
DEU,,oil,methodology change,1995,2012,,Year = 1995. Alignment with the Classification of the Economic Activities in the European Community (NACE).,,,,,,,
DEU,,biofuelsandwaste,methodology change,1971,1996,time series break,new survey for renewables causes breaks in time series,,,,,,,
DEU,,heat,methodology change,1971,1998,time series break,new survey for renewable products can cause breaks in time series between 1998 and 1999,,,,,,,
DEU,,coal,real anomaly,1998,2005,,Break in timeseries 1998-2005,,,,,,,
DEU,,coal,real anomaly,1998,2005,,Break in timeseries 1998-2005,,,,,,,
DEU,,electricity,ex-post revision,1971,2000,time series break,revisions to consumption data may cause breaks in time series,,,,0,,,
DEU,,heat,ex-post revision,1971,2002,time series break,"German administration performed some major revisions back to 2003, this led to breaks",,,,0,,,
DEU,,electricity,ex-post revision,1971,2002,time series break,"German administration performed some major revisions back to 2003, this led to breaks",,,,0,,,
DEU,,naturalgas,methodology change,1971,2002,time series break,modifications in reporting methodology leads to breaks in some sectors,,,,,,,
DEU,,oil,methodology change,1971,2002,time series break in consumption,breaks due to structural changes in energy statistics following the Energy Statistics Act,,,,,,,
DEU,,heat,real anomaly,2002,2004,time series break,implementation of Energy Statistics Act leads to breaks in time series,,,,,,,
DEU,,coal,ex-post revision,2003,2011,"revisions to all primary coal types, derived products and manufactured gases","revisions affected consumption, supply, statistical differences and weighted calorific values",,,,0,,,
DEU,,heat,data availability,2003,2012,,Year >=2003. Only data available for direct use,,,,1,,,
DEU,,electricity,ex-post revision,2003,2012,,Break in timeseries 2002-2003. By admin,,,,0,,,
DEU,,,data availability,2004,2012,,Break in timeseries 2003-2004. Implementation of Energy Statistics Act led to more efficient data collection,,,,0,,,
DEU,,biofuelsandwaste,methodology change,1971,2011,time series break,changes to methodology caused time series breaks,,,,,,,
DNK,,heat,data availability,1971,1976,data unavailable,heat data are not available before 1976,,,,9,,,
DNK,industrial,electricity,combined sectors,1971,2012,combined sectors,electricity consumption in non-specified industry includes consumption in district heating plants and for the distribution of electricity.,1,1,0,,,,
DNK,,oil,extrapolation,1971,2012,estimated data,"consumption data is based on surveys sent to companies every other year. for non survey years, figures are estimated by the Danish Energy Agency",,,,,,,1
DNK,,solarandgeothermal,data availability,1978,2012,data available,direct use of solar thermal energy is available from 1978,,,,1,,,
DNK,,oil,data availability,1988,2012,,Year <=1987. Data unavailable,,,,1,,,
DNK,,electricity,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1990,,,,0,,,
DNK,,naturalgas,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1993,,,,0,,,
DNK,,heat,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1990,,,,0,,,
DNK,,coal,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1995,,,,0,,,
DNK,,biofuelsandwaste,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1992,,,,0,,,
DNK,,oil,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1994,,,,0,,,
DNK,,solarandgeothermal,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1991,,,,0,,,
DNK,,oil,data availability,1989,2012,data available,information on waste oil recycling and final consumption befings in 1989,,,,1,,,
DNK,industrial,heat,ex-post revision,1990,2012,,Year >=1990. Revision by administration,,,,0,,,
DNK,industrial,biofuelsandwaste,ex-post revision,1971,2010,time series break in consumption,revisions cause breaks in solid biofuels consumption between 2010 and 2011,,,,0,,,
DOM,,,data source change,1998,2012,,time series break between 1997 and 1998,,,,,,,
DZA,,,ex-post revision,1971,2008,time series break,between 2008 and 2009,,,,0,,,
ECU,,oil,data availability,1971,2011,time series break,between 2011 and 2012 for some oil products,,,,0,,,
ECU,,,ex-post revision,2004,2012,,Ecuador has revised historical data since 2004,,,,0,,,
EGY,,,data source change,1992,2012,reporting change,,,,,,,,
ERI,,,data availability,1992,2012,prior to 1992 included in Ethiopia,,,,,1,1,,
