country,sector,fuel,issue_code,year_start,year_end,issue,description,flag_drop,tot_drop,fuel_keep,grey,geo_change,fiscal_year,ex_ex
ESP,industrial,naturalgas,combined sectors,1971,1993,time series break,a large number of CHP autoproducers were previously included in industry consumption,1,1,0,,,,
ESP,,oil,methodology change,1971,1995,time series breaks,a change in the reporting system occured mid 1996 resulting in some breaks in time series,,,,,,,
ESP,,biofuelsandwaste,combined sectors,1971,2005,,year <= 2005: biogases erroneously included as inputs to tranformation rather than consumption,1,1,0,,,,
ESP,,heat,methodology change,1971,2005,time series break,"Starting in 2006, a new method was used to estimate the losses from final consumption, resulting in a break in time series between 2005 and 2006",,,,,,,
ESP,,naturalgas,methodology change,1971,2005,time series breaks,between 2005 and 2006 there are some breaks in time sereis for finalconsuption due to a change in the estimation methodology,,,,,,,
ESP,,electricity,methodology change,1971,2005,time series break,"Starting in 2006, a new method was used to estimate the losses from final consumption, resulting in a break in time series between 2005 and 2006",,,,,,,
ESP,,heat,data availability,1990,2012,,year >= 1990: data available,,,,1,,,
ESP,,heat,data availability,1994,2012,data newly available,available from 1994,,,,1,,,
ESP,,naturalgas,real anomaly,1997,2012,increase in demand,new plant opened fueled by natural gas in 1997,,,,,,,
ESP,,biofuelsandwaste,data availability,2001,2012,,year >= 2001: data available,,,,1,,,
ESP,supply,coal,real anomaly,2008,2012,decrease in supply,lignite mining ceased in 2008,,,,,,,
EST,,allbutbiofuels,real anomaly,1990,2012,data for estonia available after 1990,"before 1990, data for estonia is included in former soviet",,,,1,1,,
ETH,,,real anomaly,1971,1991,ERI included until 1992,,,,,,1,,
ETH,,,,1971,2012,data reported on the fiscal year,,,,,,,1,
ETH,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/2 estimated,,,,,,,
ETH,,solarandgeothermal,real anomaly,2010,2010,,time series break in 2010 (plant out of commission),,,,,,,
ETH,,,data source change,2012,2012,,differing source 2012 to 2015,,,,,,,
FIN,,coal,real anomaly,1994,1994,production ceased,production of gas works gas ceased in April 1994,,,,,,,
FIN,,oil,methodology change,1995,2012,,Break in timeseries 1995. Aligning of the National Board of Customs trade data collection system with the European Unionâs Intrastat system,,,,,,,
FIN,,oil,methodology change,1971,1988,time series break,"due to a new calculation model, there is a break in fuel oil other consumption between 1998 and 1999 ",,,,,,,
FIN,,oil,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,biofuelsandwaste,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,heat,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,solarandgeothermal,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,coal,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,naturalgas,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,electricity,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,oil,methodology change,1999,2012,,Break in timeseries 1998-1999. Only in other consumption,,,,,,,
FIN,,coal,ex-post revision,2000,2012,,Year >=2000. For some consumption flows only,,,,0,,,
FIN,,coal,ex-post revision,2000,2012,,Year >=2000. For some consumption flows only,,,,0,,,
FIN,,heat,ex-post revision,1971,2006,time series break,review of NACE sector encoding led to revisions and time series breaks in some sectors,,,,0,,,
FIN,,heat,ex-post revision,2007,2012,,Break in timeseries 2006-2007. Revision of the sectoral heat consumption time series by administration,,,,0,,,
FRA,industrial,oil,data availability,1971,1982,data for breakdown unavailable,"after 1982, no breakdown between energy and non-energy use is available for this product",,,,1,,,
FRA,,heat,methodology change,1971,2004,,Year <2005. Reported as direct use,,,,,,,
FRA,industrial,coal,extrapolation,1989,1998,estimated data,"IEA estimated industry consumption based on Consommations d'Energie dans l'Industrie, SESSI",,,,,,,1
FRA,supply,naturalgas,methodology change,1990,1998,statistical differences include consumption,statistical difference includes gas consumption which is not broken down by sector,,,,9,,,
FRA,commercial,electricity,combined sectors,1990,2012,combined sectors,"electricity consumption at railway and bus, shipping piers and airports ins now included in commercial sector",1,1,0,,,,
FRA,,electricity,ex-post revision,1990,2012,time series break,road electricity consumption has been revised following an extended review of NACE sector encoding by the administration,,,,0,,,
FRA,,naturalgas,methodology change,2000,2012,,Break in timeseries 1999-2000. New methodology for preparing the natural gas balances.,,,,,,,
FRA,industrial,oil,methodology change,1971,2001,time series breaks,breaks in LPG time series in 2001 due to improved data collection,,,,,,,
FRA,,oil,data availability,2001,2012,,Year <2001. Data unavailable,,,,1,,,
FRA,,electricity,ex-post revision,2004,2012,,Break in timeseries 2004.,,,,0,,,
FRA,industrial,oil,real anomaly,1971,2005,time series breaks,breaks in LPG time series as consumption from one chemical company was reclassified from energy use to. non energy use,,,,1,,,
FRA,,biofuelsandwaste,ex-post revision,2005,2012,,Break in timeseries 2004-2005,,,,0,,,
FRA,,biofuelsandwaste,ex-post revision,2005,2012,,Break in timeseries 2004-2005,,,,0,,,
FRA,,naturalgas,data availability,1971,2008,time series break,breaks in time series between 2008 and 2009 due to improvements in data collection,,,,0,,,
FRA,industrial,coal,methodology change,1971,2010,time series breaks,change in methodology causes breaks in consumption time series,,,,,,,
FRA,industrial,coal,methodology change,1971,2010,time series breaks,change in methodology causes breaks in consumption time series,,,,,,,
FRA,,heat,data availability,2012,2012,data on heat distribution losses available,"available only from 2012, before that they were included in final consumption",,,,1,,,
GAB,,,data availability,1971,2009,time series break,between 2009 and 2010,,,,0,,,
GBR,,biofuelsandwaste,ex-post revision,1971,2000,time series breaks,between 2000 and 2001,,,,0,,,
GBR,residential,biofuelsandwaste,ex-post revision,1971,2007,time series breaks,between 2007 and 2008,,,,0,,,
GBR,,naturalgas,methodology change,1971,2007,time series break,between 2007 and 2008,,,,,,,
GBR,residential,electricity,combined sectors,1990,2012,misspecification of electricity consumed,starting in 1990,1,1,0,,,,
GBR,,coal,methodology change,2002,2012,,year >= 2002: calorific values changed,,,,,,,
GBR,industrial,oil,ex-post revision,2008,2012,time series break,from 2008,,,,0,,,
GBR,,oil,methodology change,2008,2012,,year >= 2008: methodology change,,,,,,,
GBR,,oil,ex-post revision,2012,2012,,year >= 2012: revisions,,,,0,,,
GEO,,,extrapolation,1990,2008,estimated data,1/2 estimated,,,,,,,
GEO,,,real anomaly,1990,2012,prior to 1990 included in Former Yugoslavia,,,,,,1,,
GEO,,,extrapolation,2008,2012,estimated data,1/2 estimated,,,,,,,
GHA,,biofuelsandwaste,ex-post revision,1971,1999,time series break,between 1999 and 2000,,,,0,,,
GHA,,oil,ex-post revision,2009,2012,time series break,from 2009 to 2012,,,,0,,,
GHA,,oil,real anomaly,2011,2012,increase supply,began oil production from the Jubilee fields,,,,,,,
GRC,industrial,biofuelsandwaste,data availability,1971,2002,,"Year 2003-2012. Data unavailable for paper, pulp and printing industry",,,,1,,,
GRC,,biofuelsandwaste,data availability,1996,2012,,Break in time series 1995-1996. New information available from1996,,,,0,,,
GRC,supply,naturalgas,real anomaly,1998,1999,production stopped,in Nov 1998 production of natural gas stopped and started again in Dec 1999,,,,,,,
GRC,,oil,real anomaly,1998,1999,production stopped,"crude oil production stopped on Nov 30, 1998 and started again Dec 1999",,,,,,,
GRC,residential,solarandgeothermal,data availability,2004,2012,consumption data available,direct use of geothermal heat in residential available from 2004,,,,1,,,
GRC,,biofuelsandwaste,real anomaly,1971,2005,decrease in industrial waste used,plant closed,,,,,,,
GRC,,oil,methodology change,2012,2012,time series break,"breaks for biodiesel, lubricants and stocks due to a new reporting system ",,,,,,,
GTM,,oil,real anomaly,2002,2012,decrease in supply,Texaco refinery ceased operations,,,,,,,
HKG,,,ex-post revision,1971,2000,time series break,between 2000 and 2001,,,,0,,,
HND,,,ex-post revision,2009,2012,,"In 2016 edition, time series data were revised for the period 2009-2013.",,,,0,,,
HND,,biofuelsandwaste,ex-post revision,2011,2012,,time series break between 2010 and 2011,,,,0,,,
HRV,,,real anomaly,1990,2012,data availability,prior to 1990 included in Former Yugoslavia,,,,1,1,,
HTI,,biofuelsandwaste,ex-post revision,2005,2011,breaks in times series,revisions made between 2005 and 2011,,,,0,,,
HTI,,,extrapolation,2008,2008,estimated data,1/2 estimated,,,,,,,
HTI,,,extrapolation,2009,2012,estimated data,1/3 estimated,,,,,,,
HUN,industrial,naturalgas,methodology change,1997,2012,,Break in timeseries 1996-1997. New methodology,,,,,,,
HUN,,oil,data availability,1998,2012,change in reporting data,data for additives and aviation gasoline become available,,,,1,,,
HUN,,biofuelsandwaste,data availability,2000,2012,,Data available from 2000,,,,1,,,
HUN,,electricity,data availability,2001,2012,,Year >=2001 only data available,,,,1,,,
HUN,,biofuelsandwaste,data availability,2003,2012,newly available data,data for industrial waste available from 2003,,,,1,,,
HUN,,biofuelsandwaste,data availability,2007,2012,,Data available from 2007,,,,1,,,
HUN,,biofuelsandwaste,ex-post revision,2010,2012,time series break,"In 2017 edition, Hungarian gov. revised solid biofuels consumption back to 2010 based on new data",,,,0,,,
HUN,,oil,methodology change,2010,2012,,Break in timeseries 2009-2010. New survey,,,,,,,
HUN,supply,biofuelsandwaste,methodology change,2012,2012,time series break,2012 change in biogasoline reporting methodology,,,,,,,
IDN,,,data source change,1971,1991,reporting change,,,,,,,,
IDN,industrial,,extrapolation,1971,2012,,Non-specified industry consumption is re-estimated by the IEA Secretariat. (unclear time period),,,,,,,1
IDN,,biofuelsandwaste,extrapolation,1971,2012,,all years,,,,,,,1
IDN,,,data source change,1992,2007,reporting change,,,,,,,,
IDN,,electricity,extrapolation,2000,2012,,,,,,,,,1
IDN,,,data source change,2008,2012,reporting change,,,,,,,,
IND,,,,1971,2012,data reported on the fiscal year,,,,,,,1,
IND,,coal,extrapolation,1971,2012,estimated data,,,,,,,,
IND,,biofuelsandwaste,extrapolation,1971,2012,,,,,,,,,1
IND,,biofuelsandwaste,extrapolation,1992,2012,estimated data,1/11 estimated,,,,,,,
IRL,residential,oil,combined sectors,1971,2012,change in reporting data,inputs of petroleum coke into patent fuel transformation reported with residential consumption,1,1,0,,,,
IRL,residential,coal,methodology change,1971,2012,data limitation,"inputs of anthracite, other bituminous coal and peak briquettes for patent fuel transformation are reported with residential consumption",1,1,0,,,,
IRL,industrial,naturalgas,data availability,1986,2012,,Year <1986. Detailed consumption figures for the use of natural gas in industry and other sectors not available,,,,1,,,
IRL,,heat,data availability,1989,2012,newly available data,data for direct use of geothermal heat available from 1989,,,,1,,,
IRL,,biofuelsandwaste,data availability,1990,2012,,Year <1990. Data unavailable,,,,1,,,
IRL,,heat,data availability,1990,2012,newly available data,data for direct use of solar thermal heat available from 1990,,,,1,,,
IRL,,biofuelsandwaste,data availability,1990,2012,newly available data,data for solid biofuels and biogases available from 1990,,,,1,,,
IRL,,oil,methodology change,1990,2012,,Break in timeseries 1989-1990. New survey,,,,,,,
IRL,supply,electricity,real anomaly,1992,2012,new generation fuel used,electricity production from wind begins in 1992,,,,,,,
IRL,supply,naturalgas,real anomaly,1996,2012,increase in imports,due to new pipeline system and depletion of a gas field,,,,,,,
IRL,supply,electricity,real anomaly,1996,2012,new generation fuel used,electricity production from biogas begins in 1996,,,,,,,
IRL,,electricity,real anomaly,2004,2012,significant consumption change,due to new light rail transit system,,,,,,,
IRL,,oil,methodology change,2007,2012,,Break in timeseries 2006-2007,,,,,,,
IRL,,oil,methodology change,2007,2012,,Break in timeseries 2006-2007,,,,,,,
IRL,,oil,methodology change,2007,2012,,Break in timeseries 2006-2007,,,,,,,
IRL,,oil,methodology change,2007,2012,,Break in timeseries 2006-2007,,,,,,,
IRL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009,,,,,,,
IRL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009,,,,,,,
IRL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009,,,,,,,
IRL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009,,,,,,,
IRL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009,,,,,,,
IRL,industrial,naturalgas,real anomaly,2011,2012,,Year = 2011. Increase in non-ferrous metals consumption is due to a fuel switch to natural gas,,,,,,,
IRN,,,data source change,1971,1991,reporting change,,,,,,,,
IRN,,,,1971,2012,data reported on Iranian calendar,,,,,,,1,
IRN,,,data source change,1992,1998,reporting change,,,,,,,,
IRN,,,data source change,1999,2012,reporting change,,,,,,,,
IRQ,,,extrapolation,1971,1997,estimated data,1/2 estimated,,,,,,,
IRQ,,,extrapolation,1998,2012,estimated data,1/12 estimated,,,,,,,
ISL,reisdential,heat,data availability,1990,2012,newly available data,heat consumption breakdown by sector available for these years,,,,1,,,
ISL,industrial,,real anomaly,2000,2012,siginificant consumption change,final consumption increases as a new iron and steel plant came online,,,,,,,
ISL,,electricity,real anomaly,2004,2007,siginificant consumption change,increase in consumption due to drilling to create a power plant,,,,,,,
ISL,supply,electricity,real anomaly,2007,2012,siginificant consumption change,expansion of aluminium industry in 2007 increases hydro and geothermal elec production from 2007,,,,,,,
ISR,supply,electricity,real anomaly,2001,2012,new supply,electricity production from wind begins in 2001,,,,,,,
ISR,supply,naturalgas,real anomaly,2008,2012,new supply,imports of natural gas began in 2008,,,,,,,
ISR,,electricity,extrapolation,2012,2012,time series break,solar thermal production and direct consumption revised and now estimated by the IEA,,,,0,,,
ISR,,biofuelsandwaste,extrapolation,2012,2012,data estimated,data on imports and consumption of charcoal estimated since 2012 based on figures for 2011,,,,,,,1
ISR,,naturalgas,extrapolation,2012,2012,data estimated (by IEA),"from 2012 all natural gas data, excep inputs to elec production, estimated by the IEA",,,,,,,1
ITA,,oil,extrapolation,1992,1997,estimated data (by IEA),data for years 1992-1997 and detailed consumption breakdown estimated by IEA,,,,,,,1
ITA,,oil,data availability,1971,1998,time series break,"due to new surveys, breaks appear in the consumption time series",,,,0,,,
ITA,,coal,methodology change,1998,2012,,Breaks in timeseries 1997-1998. New survey,,,,,,,
ITA,commercial,oil,methodology change,1999,2012,,Breaks in 1998-1999. New survey,,,,,,,
ITA,,biofuelsandwaste,ex-post revision,2002,2012,change in methodology,"methodoogy used to calculate solid biofuels consumption in the residential sector for 2002 -2014 updated, creating a break in time series between 2001-2002",,,,0,,,
ITA,industrial,,methodology change,1971,2003,time series break,change in methodology leads to time series break,,,,,,,
ITA,industrial,naturalgas,methodology change,1971,2003,time series break,due to new data reporting methodology,,,,,,,
ITA,,heat,ex-post revision,1971,2010,data revision,revisions of final consumption of heat by Italian administration led to breaks between 2010 and 2011,,,,0,,,
ITA,,heat,ex-post revision,2011,2012,,Break in timeseries 2010-2011,,,,0,,,
JAM,,oil,data availability,1971,2007,time series break,between 2007 and 2008,,,,0,,,
JAM,,electricity,data availability,1971,2007,time series break,between 2007 and 2008,,,,0,,,
JAM,,,extrapolation,1991,2006,estimated data,1/2 estimated,,,,,,,
JAM,,,extrapolation,2007,2012,estimated data,1/7 estimated,,,,,,,
JOR,,,data source change,1971,1991,reporting change,,,,,,,,
JOR,,,data source change,1992,2004,reporting change,,,,,,,,
JOR,,,extrapolation,1992,2004,estimated data,1/7 estimated,,,,,,,
JOR,,,data source change,2005,2012,reporting change,,,,,,,,
JOR,,,extrapolation,2005,2012,estimated data,1/3 estimated,,,,,,,
JOR,,oil,real anomaly,2011,2012,increase in demand,,,,,,,,
JOR,,oil,real anomaly,2011,2012,increase in demand,,,,,,,,
JPN,industrial,electricity,extrapolation,1971,2004,,,,,,,,,1
JPN,,oil,extrapolation,1971,2005,consumption data estimated based on 2005,,,,,,,,1
JPN,,oil,ex-post revision,1990,2012,,year >= 1990 revisions may create a timeseries bread,,,,0,,,
JPN,industrial,coal,extrapolation,1990,2012,final consumption estimated,the inputs of coke oven coke as well as final consumption have been estimated by IEA since 1990,,,,,,,1
JPN,,biofuelsandwaste,ex-post revision,2010,2012,,year >= 2010 revisions,,,,0,,,
KAZ,,,data source change,1990,1992,change data source,,,,,,,,
KAZ,,,extrapolation,1990,1992,estimated data,1/1 estimated,,,,,,,1
KAZ,,,real anomaly,1990,2012,prior to 1990 included in Former Soviet UNion,,,,,1,1,,
KAZ,,,extrapolation,1993,2011,estimated data,1/5 estimated,,,,,,,
KAZ,,allbutbiofuels,data source change,2012,2012,,"differ source 2012 to 2015, including IEA estimates",,,,,,,
KAZ,,,extrapolation,2012,2012,estimated data,1/3 estimated,,,,,,,
KAZ,,,methodology change,2012,2012,,time series break between 2011 and 2012,,,,,,,
KEN,,,data source change,1971,1991,change data source,,,,,,,,
KEN,,,data source change,1992,2004,change data source,,,,,,,,
KEN,,electricity,methodology change,2001,2012,data reporting change,electricity data start being reported on a fiscal year basis,,,,,,1,
KEN,,,data source change,2005,2012,change data source,,,,,,,,
KEN,,,extrapolation,2005,2012,estimated data,1/6 estimated,,,,,,,
KGZ,,,data source change,1990,1992,change data source,,,,,,,,
KGZ,,,extrapolation,1990,1992,estimated data,1/1 estimated,,,,,,,1
KGZ,,,real anomaly,1990,2012,prior to 1990 included in Former Soviet Union,,,,,1,1,,
KGZ,,,data source change,1993,2006,change data source,,,,,,,,
KGZ,,,extrapolation,1993,2006,estimated data,1/4 estimated,,,,,,,
KGZ,,coal,ex-post revision,2005,2011,,time series break between 2004 and 2005,,,,0,,,
KGZ,,oil,ex-post revision,2005,2011,,time series break between 2004 and 2005,,,,0,,,
KGZ,,electricity,ex-post revision,2005,2011,,time series break between 2004 and 2005,,,,0,,,
KGZ,,,data source change,2007,2012,change data source,,,,,,,,
KGZ,,,extrapolation,2007,2012,estimated data,1/8 estimated,,,,,,,
KHM,,,data availability,1995,2012,prior to 1995 included in Other Asia,,,,,1,1,,
KOR,,oil,combined fuels,1971,2012,inputs to electricity producers included in consumption,inputs of fuel oil to autoproducer electricity and autoproducer CHP are included with final consumption,1,1,0,,,,
KOR,industrial,naturalgas,extrapolation,1987,1991,,1987 <= year <= 1991,,,,,,,1
KOR,commercial,naturalgas,extrapolation,1987,1991,,1987 <= year <= 1991,,,,,,,1
KOR,residential,naturalgas,extrapolation,1987,1992,,1987 <= year <= 1992,,,,,,,1
KOR,,heat,data availability,1993,2012,,year >= 1993: heat data available,,,,1,,,
KOR,reisdential,heat,data availability,2000,2012,,year >= 2000: heat consumption by sector available,,,,1,,,
KOR,,heat,data availability,2002,2012,,year >= 2002: geothermal heat available,,,,1,,,
KOR,industrial,coal,methodology change,2002,2012,,year >= 2002: reporting change,,,,,,,
KOR,,,methodology change,2002,2012,,year >= 2002: reporting change,,,,,,,
XKO,,,real anomaly,1971,1999,data doesnt exist,Kosovo was part of Serbia,,,,,1,,
XKO,,,data source change,2003,2010,change data source,,,,,,,,
XKO,,,extrapolation,2003,2010,estimated data,1/2 estimated,,,,,,,
XKO,,,data source change,2011,2012,change data source,,,,,,,,
XKO,,,real anomaly,2011,2011,break in time series,Desulphurisation unit operating,,,,,,,
KWT,,,data source change,1971,1991,change data source,,,,,,,,
KWT,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/2 estimated,,,,,,,
KWT,,,extrapolation,1992,2012,change data source,1/15 estimated,,,,,,,
KWT,,oil,data availability,2008,2012,Time series break,"information for use of ethane in petrochemical industry available from 2008 onwards, leading to break in time series for ethan and naptha consumption",,,,1,,,
KWT,,allbutbiofuels,data source change,1992,2012,,"differ source 1992 to 2015, including IEA estimates",,,,,,,
LVA,,,extrapolation,1990,2012,estimated data,1/4 estimated,,,,,,,
LVA,,,real anomaly,1990,2012,prior to 1990 included in Former Soviet Union,,,,,1,1,,
LBN,,electricity,extrapolation,1971,2012,estimated data,due to private generation data quality issues,,,,,,,1
LBY,,oil,data availability,2006,2012,,time series break between 2005 and 2006,,,,0,,,
LBY,,electricity,data availability,2006,2012,,time series break between 2005 and 2006,,,,0,,,
LBY,,electricity,data availability,2012,2012,,time series break between 2011 and 2012 due to non-technical losses and data uncertainty,,,,0,,,
LKA,,,data source change,1971,1991,reporting regime,,,,,,,,
LKA,,,data source change,1992,2012,reporting regime,,,,,,,,
LKA,,,extrapolation,1992,2012,estimated data,1/9 estimated,,,,,,,
LKA,,,ex-post revision,2000,2012,,time series break between 1999 and 2000,,,,0,,,
LTU,,,real anomaly,1971,2012,prior to 1990 included in Former Soviet Union,,,,,1,1,,
LTU,supply,electricity,,2009,2012,decrease in supply,shut down its only nuclear power plant in 2009,,,,,,,
LUX,,naturalgas,methodology change,1982,2012,,,,,,,,,
LUX,,electricity,real anomaly,1997,2012,supply shock,at end of 1997 iron and steel industry stopped production of elec,,,,,,,
LUX,industrial,coal,real anomaly,1998,2012,consumption demand shock,steel production from blast furnaces ceased at the end of 1997,,,,,,,
LUX,,naturalgas,ex-post revision,2000,2012,revised consumption data,integreated supplementary dat and therefore industrial consumption was revised back to 2000,,,,0,,,
LUX,,heat,ex-post revision,2000,2012,,year >= 2000: revisions,,,,0,,,
LUX,,electricity,ex-post revision,2000,2012,,year >= 2000: revisions,,,,0,,,
LUX,industry,heat,extrapolation,2000,2012,newly available data,data for heat distribution losses and heat consumption in industry and energy sectors revised from 2000 onwrds,,,,0,,,
LUX,,heat,data availability,2001,2012,,year >= 2001: data is available,,,,1,,,
LUX,,electricity,real anomaly,2002,2012,supply increase,increase in elec production due to a new natural gas power plant,,,,,,,
LUX,industrial,electricity,data source change,2011,2012,,year >= 2011: change in data,,,,,,,
LUX,,biofuelsandwaste,real anomaly,2011,2012,new supply activity,"in 2011, blending of biogases with natural gas started",,,,,,,
LUX,,naturalgas,methodology change,2012,2012,consumption methodology change,since 2012 the methodology to determine final consumption changed for consistency with National Accounts,,,,,,,
LVA,,,real anomaly,1971,1989,Prior to 1990 Latvia is included in the Soviet Union,,,,,9,1,,
LVA,industrial,electricity,real anomaly,2012,2012,increase in electricity consumption in iron and steel sectors,caused by switch from open earth furnace to electricity furnace in a factory,,,,,,,
MAR,,,data source change,1971,1991,change data source,,,,,,,,
MAR,,,data source change,1992,2012,change data source,,,,,,,,
MAR,,,ex-post revision,2004,2012,,time series break between 2003 and 2004,,,,0,,,
MAR,,oil,real anomaly,2010,2012,,time series break between 2009 and 2010 because of refinery expansion,,,,,,,
MDA,,electricity,extrapolation,1971,2012,,modified by the IEA Secretariatary to include estimates for supply and demand for the autonomous region of StÃ®nga Nistrului,,,,,1,,
MDA,,,data source change,1990,1991,change data source,,,,,,,,
MDA,,,extrapolation,1990,1991,data estimation,1/1 estimated,,,,,,,1
MDA,,,real anomaly,1990,2012,prior to 1990 included in Former Soviet Union,,,,,1,1,,
MDA,,allbutbiofuels,data source change,1992,2007,,"differ source 1992 to 2007, including IEA estimates",,,,,,,
MDA,,allbutbiofuels,extrapolation,1992,2007,,"differ source 1992 to 2007, including IEA estimates",,,,,,,
MDA,,heat,ex-post revision,1993,2012,,time series break between 1992 and 1993,,,,0,,,
MDA,,electricity,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MDA,,coal,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MDA,,oil,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MDA,,solarandgeothermal,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MDA,,naturalgas,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MDA,,biofuelsandwaste,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MDA,,,data source change,2008,2012,change data source,,,,,,,,
MDA,,biofuelsandwaste,ex-post revision,2010,2012,Time series break,More survey data available on solid biomass,,,,0,,,
MEX,,electricity,extrapolation,1971,1992,data partly estimated,data partly estimated based on the publication Balance Nacional - Energia,,,,,,,0
MEX,,heat,extrapolation,1971,1992,data partly estimated,data partly estimated based on the publication Balance Nacional - Energia,,,,,,,0
MEX,,coal,extrapolation,1971,1992,data partly estimated,data partly estimated based on the publication Balance Nacional - Energia,,,,,,,0
MEX,,naturalgas,extrapolation,1971,1992,data partly estimated,data partly estimated based on the publication Balance Nacional - Energia,,,,,,,0
MEX,,oil,extrapolation,1971,1992,data partly estimated,data partly estimated based on the publication Balance Nacional - Energia,,,,,,,0
MEX,,biofuelsandwaste,extrapolation,1971,1992,data partly estimated,data partly estimated based on the publication Balance Nacional - Energia,,,,,,,0
MEX,,oil,data availability,1990,2012,consumption data available,from 1990,,,,1,,,
MEX,,oil,ex-post revision,1990,2012,historical revisions,"revisions based on updated info from PEMEX, CFE and the Mexican Institute of Petroleum",,,,0,,,
MEX,industrial,coal,data availability,1991,2012,,year >= 1991: data is available,,,,1,,,
MEX,,,data source change,1992,2012,,year >= 1992: data source change,,,,,,,
MEX,industrial,oil,ex-post revision,1993,2012,,year >= 1993: revisions,,,,0,,,
MEX,,biofuelsandwaste,data availability,1997,2012,consumption data available,data on biogases consumption available from 1997,,,,1,,,
MEX,,coal,ex-post revision,2003,2012,,year >= 2003: revisions,,,,0,,,
MKD,,,extrapolation,1990,2012,estimated data,1/3 estimated,,,,,,,
MKD,,,real anomaly,1990,2012,prior to 1990 included in Former Yugoslavia,,,,,1,1,,
MKD,residential,,ex-post revision,2005,2012,,Statistical Office revised energy balances from 2005- 2014 in acc with survey conducted on household energy consumption,,,,0,,,
MLT,,electricity,real anomaly,2011,2012,break in time series,new power generation station fuelled by biogas,,,,,,,
MMR,,,data source change,1971,1991,change data source,,,,,,,,
MMR,,,data availability,1971,2012,some data are reported on fiscal year basis,,,,,0,,1,
MMR,,biofuelsandwaste,extrapolation,1971,2012,,including IEA estimates,,,,,,,1
MMR,,allbutbiofuels,data source change,1992,2012,,"differ source 1992 to 2015, including IEA estimates",,,,,,,
MMR,,,extrapolation,1992,2012,change data source,1/12 estimated,,,,,,,
MNE,industrial,,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MNE,,,real anomaly,2005,2012,"between 1990 and 2004 included in Serbia, prior to 1990 included Former Yugoslavia",,,,,1,1,,
MNE,,biofuelsandwaste,ex-post revision,2011,2012,,time series break between 2010 and 2011,,,,0,,,
MNG,,,real anomaly,1985,2012,prio to this included in 'Other Asia',,,,,1,1,,
MNG,,,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
MOZ,,,data source change,1971,1991,change data source,,,,,,,,
MOZ,,,extrapolation,1971,1991,estimated data,1/1 estimated,,,,,,,1
MOZ,,,data source change,1992,2012,change data source,,,,,,,,
