country,sector,fuel,issue_code,year_start,year_end,issue,description,flag_drop,tot_drop,fuel_keep,grey,geo_change,fiscal_year,ex_ex
MOZ,,,extrapolation,1992,2012,estimated data,1/4 estimated,,,,,,,
MYS,,allbutbiofuels,data source change,1971,1999,,differ source <=1999,,,,,,,
MYS,,,data source change,2000,2012,change data source,,,,,,,,
NAM,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/1 estimated,,,,,,,1
NAM,,,real anomaly,1991,2012,prior to 1991 data included in other Africa,,,,,1,1,,
NGA,,,data source change,1971,1991,change data source,,,,,,,,
NGA,supply,,data availability,1971,2012,inputs of motor gasoline and gas/diesel to back up elec generation not included,,,,,9,,,
NGA,,,data source change,1992,2012,change data source,,,,,,,,
NGA,,,extrapolation,1992,2012,estimated data,1/10 estimated,,,,,,,
NGA,,oil,ex-post revision,2003,2012,"naptha data added, breaks in time series for other oil products ",,,,,1,,,
NER,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/2 estimated,,,,,,,
NER,,,extrapolation,1971,2012,estimated data,1/2 estimated,,,,,,,
NER,,,real anomaly,2000,2012,prior to 2000 was included in Other Africa,,,,,1,1,,
NLD,,naturalgas,methodology change,1971,1981,time series break,introduction of more comprehensive surveys,,,,,,,
NLD,,naturalgas,methodology change,1971,1983,time series break,introduction of more comprehensive surveys,,,,,,,
NLD,industrial,coal,combined fuels,1971,1988,inclusion of non-energy use,"prior to 1989, non-energy use is included with industry consumption",1,1,0,,,,
NLD,industrial,oil,methodology change,1971,1990,time series break,in 1990 started to report the petro-chemical industry according to IEA methodology,,,,,,,
NLD,,naturalgas,ex-post revision,1990,1994,change in reporting data,"revisions result of increased data collection, availability of new source info and further alignment with international energy definitions",,,,0,,,
NLD,supply,heat,real anomaly,1995,2012,increase in heat production,in 1995 change in ownership of large installation,,,,,,,
NLD,supply,electricity,real anomaly,1997,1997,decrease of electricity produced,in 1997,,,,,,,
NOR,industrial,naturalgas,combined sectors,1971,1999,energy use included some final consumption,prior to 2000,1,1,0,,,,
NOR,commercial,biofuelsandwaste,combined fuels,1971,2002,distribution losses included,prior to 2003,1,1,0,,,,
NOR,industrial,oil,data availability,1993,2003,time series break,,,,,0,,,
NOR,industrial,oil,real anomaly,1971,2005,time series break,,,,,,,,
NOR,supply,coal,real anomaly,1971,1987,decrease in supply,production ceased in the late 1980s,,,,,,,
NOR,,biofuelsandwaste,data availability,1991,2012,data newly available,data for industrial waste and biogases are available from 1991,,,,1,,,
NOR,supply,oil,real anomaly,1991,2012,increase in supply,in 1992 increase in oil and gas extraction is due to the start-up of new fields,,,,,,,
NOR,supply,naturalgas,real anomaly,1992,2012,increase in supply,in 1992 increase in oil and gas extraction is due to the start-up of new fields,,,,,,,
NOR,industrial,oil,data availability,1993,2012,,year >= 1993: new data available,,,,0,,,
NOR,supply,coal,real anomaly,2005,2005,decrease in supply,Decrease in production in 2005 is due to a fire in oine of the coal mines -- break in production for a large part of the year,,,,,,,
NPR,,,data availability,1971,2012,data reported on fiscal year basis,,,,,0,,1,
NPR,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/2 estimated,,,,,,,
NPR,,allbutbiofuels,data source change,1971,1996,,"differ source <=1996, including IEA estimates",,,,,,,
NPR,,allbutbiofuels,extrapolation,1971,1996,,"differ source <=1996, including IEA estimates",,,,,,,
NPR,,allbutbiofuels,data source change,1997,2012,,"differ source 1997 to 2015, including IEA estimates",,,,,,,
NPR,,allbutbiofuels,extrapolation,1997,2012,,"differ source 1997 to 2015, including IEA estimates",,,,,,,
NZL,,electricity,real anomaly,1971,1987,time series break,time series break between 1987 and 1988,0,,,,,,
NZL,,,real anomaly,1971,1993,definition of a year,"Prior to 1994, data refer to the fiscal year (April 1993 to March 1994 for 1993). From 1994, data refer to the calendar year.",,,,,,1,
NZL,industrial,naturalgas,combined fuels,1971,2002,misspecification of gas consumed,"Prior to 2003, gas consumed in industry includes some gas from energy industry own-use.",1,1,0,,,,
NZL,commercial,oil,methodology change,1971,2009,break in time series,"between 2009 and 2010, a break in time series appears for demand of gas/diesel",,,,,,,
NZL,,electricity,methodology change,1988,2012,,,,,,,,,
NZL,,heat,methodology change,1988,2012,,,,,,,,,
NZL,,heat,data availability,1990,2012,change in reporting data,data on direct use of geothermal heat are available from 1990,,,,1,,,
NZL,,biofuelsandwaste,ex-post revision,1990,2012,time series revision,"revised some of the coal, natural gas, oil, renewable and electricity time series back to 1990.",,,,0,,,
NZL,,electricity,ex-post revision,1990,2012,time series revision,"revised some of the coal, natural gas, oil, renewable and electricity time series back to 1990.",,,,0,,,
NZL,,coal,ex-post revision,1990,2012,time series revision,"revised some of the coal, natural gas, oil, renewable and electricity time series back to 1990.",,,,0,,,
NZL,,oil,ex-post revision,1990,2012,time series revision,"revised some of the coal, natural gas, oil, renewable and electricity time series back to 1990.",,,,0,,,
NZL,,naturalgas,ex-post revision,1990,2012,time series revision,"revised some of the coal, natural gas, oil, renewable and electricity time series back to 1990.",,,,0,,,
NZL,,oil,data availability,1994,2012,,year >= 1994: no longer reported,,,,9,,,
NZL,,heat,data availability,2002,2012,change in reporting data,data on direct use of solar thermal heat are available from 2002,,,,1,,,
NZL,industrial,naturalgas,real anomaly,2005,2008,decrease in demand,"in 2005 decline in chemical industry consuption was due to the closure of the Motunui methanol production pland, which was reopended in late 2008",,,,,,,
OMN,,,data source change,1992,2004,change data source,,,,,,,,
OMN,,,extrapolation,1992,2004,estimated data,1/8 estimated,,,,,,,
PAK,,,data source change,1971,1991,change data source,,,,,,,,
PAK,,,data source change,1992,2012,change data source,,,,,,,,
PAK,,,extrapolation,1992,2012,estimated data,1/5 estimated,,,,,,,
PAK,,naturalgas,ex-post revision,2004,2007,,time series break between 2003 and 2004,,,,0,,,
PRK,,coal,ex-post revision,1971,2010,time series break,between 2010 and 2011,,,,0,,,
PRK,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/3 estimated,,,,,,,
PRK,,,extrapolation,1971,2012,estimated data,1/4 estimated,,,,,,,
PER,,biofuelsandwaste,methodology change,2010,2012,Liquid biofuels included in energy balances from 2010 onwards,,,,,1,,,
POL,residential,biofuelsandwaste,data availability,1971,1992,large increase in consumption,due to data availability there is a large increase in solid biofuels between 1992 and 1993,,,,9,,,
POL,commercial,biofuelsandwaste,data availability,1971,1992,large increase in consumption,due to data availability there is a large increase in solid biofuels between 1992 and 1993,,,,9,,,
POL,industrial,heat,combined fuels,1971,2009,time sereies breaks,"prior to 2010 heat consumption can include autoproducers unsold heat, previous attempts to address such issue may have caused breaks for heat consumption in industry sub-sectors",1,1,0,,,,
POL,residential,coal,combined sectors,1971,2009,,"year <= 2009: own use in coal mines included worker take-home allowance, which should be in residential",1,0,0,,,,
POL,,heat,data availability,2000,2012,data reporting change,direct use of geothermal heat are available from 2000,,,,1,,,
POL,commercial,heat,data availability,2002,2012,data reporting change,direct use of solar thermal heat are available from 2002,,,,1,,,
POL,,biofuelsandwaste,data availability,2003,2012,,year >= 2003: data available,,,,1,,,
POL,,biofuelsandwaste,data availability,2008,2012,increased data coverage,in 2008,,,,0,,,
POL,residential,heat,data availability,2009,2012,data reporting change,direct use of solar thermal heat are available from 2009,,,,1,,,
PRT,,heat,data availability,1989,2012,newly available data,data available from 1989,,,,1,,,
PRT,,heat,data availability,1994,2012,newly available data,data available from 1994,,,,1,,,
PRT,supply,naturalgas,real anomaly,1997,2012,increase in supply,"in feb 1997, started to import",,,,,,,
PRT,,coal,real anomaly,2001,2012,fuel production ceased,productino of pig iron ceased in the first quarter of 2001 leading to decreases in consumption in 2001,,,,,,,
PRT,residential,biofuelsandwaste,data source change,2010,2012,new data input,a new survey on energy consumption in households between 2009 and 2010,,,,,,,
PRY,,electricity,real anomaly,1984,2012,Hydroelectric plant formed as a joint venture by Paraguay government,,,,,,,,
QAT,,,data source change,1971,1991,change data source,,,,,,,,
QAT,industrial,electricity,combined sectors,1971,2012,,all years (electricity consumption of industrial sector includes use of energy sector),1,1,0,,,,
QAT,,,data source change,1992,2012,change data source,,,,,,,,
QAT,,,extrapolation,1992,2012,estimated data,1/17 estimated,,,,,,,
QAT,,naturalgas,data availability,2005,2012,time series break,info on use of LPG in petrochemical sector is from 2005 onwards,,,,1,,,
ROU,,,data source change,1971,1991,,differ source <=1991 (unspecified source),,,,,,,
ROU,,,extrapolation,1971,2012,estimated data,1/5 estimated,,,,,,,
RUS,,,real anomaly,1971,1989,prior to 1990 included in Soviet Union,,,,,9,1,,
RUS,,,extrapolation,1990,2012,estimated data,1/11 estimated,,,,,,,
RUS,,,methodology change,2005,2012,,time series break between 2004 and 2005 (with new categorization system),,,,,,,
RUS,,oil,data availability,2011,2012,,"napatha consumption available after 2011, significantly lower than secondary source (previously as residual in the balance sheet)",,,,0,,,
SAU,,,data source change,1971,1991,reporting regime,,,,,,,,
SAU,,naturalgas,ex-post revision,1990,2012,,time series break between 1989 and 1990,,,,0,,,
SAU,,,data source change,1992,2012,reporting regime,,,,,,,,
SAU,,,extrapolation,1992,2012,estimated data,1/13 estimated,,,,,,,
SDN,,,data source change,1971,1991,reporting regime,,,,,,,,
SDN,,,data source change,1992,2012,reporting regime,,,,,,,,
SDN,,,extrapolation,1992,2012,estimated data,1/7 estimated,,,,,,,
SDN,,,real anomaly,2012,2012,Time series break,South Sudan became independent in 2011; Sudan and South Sudan reported separately after 2011,,,,,1,,
SEN,,,data source change,1971,1991,reporting regime,,,,,,,,
SEN,,,data source change,1992,1999,reporting regime,,,,,,,,
SEN,,,data source change,2000,2007,reporting regime,,,,,,,,
SEN,,,extrapolation,2000,2007,estimated data,1/2 estimated,,,,,,,
SEN,,,data source change,2008,2008,reporting regime,,,,,,,,
SEN,,,data source change,2009,2012,reporting regime,,,,,,,,
SEN,,biofuelsandwaste,ex-post revision,2009,2012,,time series change between 2008 and 2009,,,,0,,,
SEN,,,extrapolation,2009,2012,estimated data,1/3 estimated,,,,,,,
SGP,,,data source change,1971,1991,reporting regime,,,,,,,,
SGP,,,data source change,1992,2012,reporting regime,,,,,,,,
SGP,,,extrapolation,1992,2012,estimated data,1/18 estimated,,,,,,,
SGP,industrial,electricity,combined sectors,2005,2012,industrial electicity consumption includes electricity consumption by refineries,,1,1,0,,,,
SGP,,,ex-post revision,2009,2012,,time series break between 2008 and 2009,,,,0,,,
SLV,,oil,real anomaly,2012,2012,,El Salvador shut down its only refinery in 2012.,,,,,,,
SRB,,,real anomaly,1990,2012,prior to 1990 included in former Yugoslavia,,,,,1,1,,
SRB,,,real anomaly,1971,1999,Kosovo included in Serbia data until 1999,,,,,,1,,
SRB,,,real anomaly,1971,2004,Montenegro included in Serbia data until 2004,,,,,,1,,
SRB,,,extrapolation,1990,2012,estimated data,1/6 estimated,,,,,,,
SRB,,naturalgas,data availability,2007,2012,,time series break between 2006 and 2007,,,,0,,,
SRB,,oil,data availability,2007,2012,,time series break between 2006 and 2007,,,,0,,,
SSD,,,extrapolation,1971,2012,,including IEA estimates,,,,,,,
SSD,,,real anomaly,2012,2012,Time series break,South Sudan became independent in 2011; Sudan and South Sudan reported separately after 2011,,,,1,1,,
SUR,,,real anomaly,2000,2012,prior to 2000 included in Other Non-OECD Americas,,,,,1,1,,
SUR,,,extrapolation,2000,2012,estimated data,1/2 estimated,,,,,,,
SVK,,naturalgas,ex-post revision,1979,1992,time series break,between 1978 and 1979 time series break due to a revision of data for 1979-1992 made in 2003,,,,0,,,
SVK,,,methodology change,1993,2012,administrative changes,SVK became a separate state in 1993,,,,1,1,,
SVK,,coal,methodology change,2001,2012,time series break,breaks in time series may exist between 2000 and 2001 as the result of the implementation of a new survey system,,,,,,,
SVK,,electricity,real anomaly,2003,2004,decrease in electricity demanded,low electricity consumption in oil refineries in 2003 and 2004 due to a change in ownership and work carried out on a refinery,,,,,,,
SVK,,coal,data availability,2005,2012,newly available data,beginning in 2005 data are reported,,,,1,,,
SVK,,coal,data source change,2005,2012,data based on trade reciepts,"since 2005, data based solely on trade reciepts, production of coal tar which is consumed within the national boundary is not reported",,,,,,,
SVK,,electricity,data availability,2010,2012,newly available data,available from 2010,,,,1,,,
SVN,,,real anomaly,1971,1989,prior to 1990 dat included in former Yugoslavia,data for slovenia are available starting in 1990 prior to that they are included in former Yugoslavia,,,,,1,,
SVN,,,data source change,1971,1999,time series breaks,a new energy data collection system was implemented in Jan 2001,,,,,,,
SVN,residential,heat,extrapolation,1971,2002,data estimated by SVN Admin,prior to 2003 data have been estimated,,,,,,,
SVN,industrial,heat,extrapolation,1971,2002,data estimated by SVN Admin,prior to 2003 data have been estimated,,,,,,,
SVN,residential,electricity,extrapolation,1971,2003,,year <= 2003,,,,,,,1
SVN,industrial,electricity,extrapolation,1971,2003,,year <= 2003,,,,,,,1
SVN,,biofuelsandwaste,redefine sectors,2008,2012,,year >= 2008: sectoral reclassification,,,,0,,,
SVN,,heat,data availability,2009,2012,newly available data,direct use available from 2009,,,,1,,,
SVN,,heat,data availability,2009,2012,newly available data,direct use available from 2009,,,,1,,,
SVN,,biofuelsandwaste,methodology change,2009,2012,time series break,break in time series between 2008 and 2009,,,,,,,
SVN,industrial,naturalgas,real anomaly,2011,2012,decrease in demand,"in 2011, the decrease in the chemical sector consumption is due to minimal use of gas for production of methanol",,,,,,,
SWE,,oil,data source change,1971,1985,time series breaks,between 1985 and 1986 there are breaks in consumption time series of fuel oil due to more detailed reporting,,,,,,,
SWE,,oil,methodology change,1971,2001,time series breaks,small breaks in time series between 2001 and 2002,,,,,,,
SWE,residential,biofuelsandwaste,methodology change,1971,2010,time series break,time series break between 2010 and 2011,,,,,,,
SWE,residential,biofuelsandwaste,methodology change,1971,2010,time series break,time series break between 2010 and 2011,,,,,,,
SWE,,,data availability,1989,2012,newly available data,direct use available from 1989,,,,1,,,
SWE,,oil,data availability,2000,2012,data newly available,from 2000,,,,1,,,
SWE,,oil,data availability,2003,2012,,year >= 2003: data available,,,,0,,,
SYR,,,data source change,1971,1991,reporting regime,,,,,,,,
SYR,,,data source change,1992,2012,reporting regime,,,,,,,,
SYR,,,extrapolation,1992,2012,estimated data,1/8 estimated,,,,,,,
SYR,,,real anomaly,2012,2012,estimated data,data since 2012 are based on estimates and secondary sources because of the ongoing conflict in Syria,,,,,,,1
TGO,,,data source change,1971,1998,reporting regime,,,,,,,,
TGO,,,extrapolation,1999,2012,estimated data,1/4 estimated,,,,,,,
TGO,,,ex-post revision,2009,2012,,time series break between 2008 and 2009,,,,0,,,
THA,,,data source change,1971,2001,reporting regime,,,,,,,,
THA,,oil,extrapolation,1971,2012,estimated data,"data for lubricants, refinery gas, non-specified oil products estimated",,,,,,,1
THA,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/3 estimated,,,,,,,
THA,,,data source change,2002,2012,reporting regime,,,,,,,,
THA,,,extrapolation,2002,2012,estimated data,1/7 estimated,,,,,,,
THA,industrial,coal,ex-post revision,2012,2012,,time series break between 2011 and 2012,,,,0,,,
TJK,,,real anomaly,1990,2012,prior to 1990 included in Soviet Union,,,,,1,1,,
TJK,,,extrapolation,1990,2012,estimated data,1/11 estimated,,,,,,,
TJK,,,ex-post revision,2012,2012,,time series break between 2011 and 2012,,,,0,,,
TKM,,,real anomaly,1990,2012,prior to 1990 included in Soviet Union,,,,,1,1,,
TTO,,,data source change,1971,1991,reporting regime,,,,,,,,
TTO,,,data source change,1992,2012,reporting regime,,,,,,,,
TTO,,naturalgas,ex-post revision,2000,2012,,time series break between 1999 and 2000 when definition of NG production is re-defined,,,,0,,,
TUN,,oil,real anomaly,2007,2012,increase in supply,new oil production,,,,,,,
TUN,,oil,data availability,2010,2012,,time series break between 2009 and 2010 because of inclusion of lubricants and bitumen,,,,0,,,
TUR,,electricity,data availability,1971,1972,time series break,between 1972 and 1973,,,,0,,,
TUR,,oil,methodology change,1971,1977,time series break,between 1977 and 1978,,,,,,,
TUR,,coal,data source change,1971,2011,time series break,beween 2011 and 2012,,,,,,,
TUR,,biofuelsandwaste,methodology change,1971,2012,,"various years: turkey only intermittetly surveys renewables and waste, so some breaks may appear in biofuels and waste",,,,,,,
TUR,supply,coal,real anomaly,1989,2012,decrease in production,decreased in 1989,,,,,,,
TUR,supply,coal,real anomaly,1994,2012,cease in production,ceased in 1994,,,,,,,
TUR,supply,coal,real anomaly,1994,2012,cease in production,ceased in 1994,,,,,,,
TUR,industrial,naturalgas,data availability,1988,2012,newly available data,since 1988 data for fertilisers and dye industry available,,,,1,,,
TUR,,naturalgas,real anomaly,1999,2001,decrease linked to fertiliser industry,between 1999 and 2001,,,,,,,
TUR,,heat,real anomaly,1999,2012,increase in suppluy,in 1999,,,,,,,
TUR,,electricity,real anomaly,1999,2012,increase in supply,in 1999,,,,,,,
TUR,,electricity,real anomaly,2000,2012,increase in supply,in 2000,,,,,,,
TUR,,coal,methodology change,2008,2012,,year >= 2008: impoved questionnaire,,,,,,,
TUR,,naturalgas,data source change,2009,2012,break in time series,from 2009,,,,,,,
TUR,,oil,methodology change,2011,2012,,year >= 2011: improved survey,,,,,,,
TWN,,,data source change,1971,1981,reporting regime,,,,,,,,
TWN,,,data source change,1982,2012,reporting regime,,,,,,,,
TWN,,,ex-post revision,1982,2012,,time series break between 1981 and 1982,,,,0,,,
TWN,,oil,data availability,2011,2012,,time series break between 2010 and 2011,,,,0,,,
TZA,,,extrapolation,1971,2012,estimated data,1/9 estimated,,,,,,,
UKR,,,real anomaly,1971,1989,prior to 1990 included in Soviet Union,,,,,9,1,,
UKR,,coal,ex-post revision,1971,1994,data revised,Coal supply and demand data revised to reflect washed coal; unwashed coal amounts were reported previously,,,,0,,,
UKR,,,data source change,1990,1991,change data source,,,,,,,,
UKR,,,extrapolation,1990,1991,estimated data,1/1 estimated,,,,,,,1
UKR,,,data source change,1992,2006,change data source,,,,,,,,
UKR,,,extrapolation,1992,2006,estimated data,1/12 estimated,,,,,,,
UKR,,,data source change,2007,2012,change data source,,,,,,,,
UKR,,,ex-post revision,2007,2012,,time series break between 2006 and 2007,,,,0,,,
UKR,,coal,real anomaly,2008,2008,,plant closure in 2008 and a stock of lignite/peat become available,,,,,,,
URY,,,data source change,1971,1990,,differing source <1990 (unspecified),,,,,,,
URY,,oil,real anomaly,1993,1994,,refinery shut down for maintainance 1993-1994,,,,,,,
URY,,biofuelsandwaste,real anomaly,2007,2010,growth in biofuel production caused by development of pulp and paper industry,,,,,,,,
USA,,oil,methodology change,1971,1990,time series break,in 1990,,,,,,,
USA,commercial,heat,combined sectors,1971,1990,reported under total consumption,"prior to 1991, total consumption of heat sold referred to consumption in commercial/public services",1,1,0,,,,
USA,,oil,methodology change,1971,1992,time series break,in 1992,,,,,,,
USA,,,methodology change,1971,1992,time series break,numerous breaks in time series particularly in 1992,,,,,,,
USA,,oil,methodology change,1971,1993,time series break,in 1993,,,,,,,
USA,,oil,methodology change,1971,1994,time series break,in 1994,,,,,,,
USA,,,methodology change,1971,1999,time series break,numerous breaks in time series particularly in 1999,,,,,,,
USA,industrial,oil,methodology change,1971,1999,time series break,in 1999,,,,,,,
USA,,,methodology change,1971,2001,time series break,numerous breaks in time series particularly in 2001,,,,,,,
USA,,oil,methodology change,1971,2001,time series break,in 2001,,,,,,,
USA,,naturalgas,methodology change,1971,2001,time series break,between 2001 and 2002,,,,,,,
USA,,electricity,methodology change,1971,2001,time series break,between 2001 and 2002,,,,,,,
USA,,,methodology change,1971,2002,time series break,numerous breaks in time series particularly in 2002,,,,,,,
USA,,electricity,methodology change,1971,2009,time series breaks,between 2009 and 2010,,,,,,,
USA,,biofuelsandwaste,methodology change,1971,2009,time series breaks,between 2009 and 2010,,,,,,,
USA,,oil,methodology change,1971,2011,time series break,between 2011 and 2012,,,,,,,
USA,residential,heat,data availability,1971,1990,no data available,prior to 1991,,,,9,,,
USA,,,data availability,1971,2012,fuel inputs included in final consumption,for some years (pg 117),,,,9,,,
USA,industrial,oil,combined sectors,1995,2012,,year >= 1995: LPG inputs to gas works included in industry,1,1,0,,,,
USA,,heat,combined sectors,1999,2012,over estimation,from 1999,1,1,0,,,,
USA,residential,heat,data availability,1999,2012,newly available data,from 1999,,,,1,,,
USA,,electricity,data availability,2000,2012,not reported,from 2000,,,,9,,,
USA,,coal,real anomaly,2007,2012,decrease in supply,in 2007,,,,,,,
USA,,electricity,real anomaly,2008,2012,decrease in electricity supply,in 2008 and subsequent cessation of the time series in 20009,,,,,,,
UZB,,,real anomaly,1990,2012,prior to 1990 included in former Soviet Union,,,,,1,1,,
UZB,,,data source change,1990,2012,reporting regime,,,,,,,,
UZB,,,extrapolation,1990,2012,estimated data,1/5 estimated,,,,,,,
VEN,,,extrapolation,1971,2012,estimated data,1/11 estimated,,,,,,,
VEN,,naturalgas,combined fuels,2000,2012,time series break,"Lease condensate included in NGL from 2000, leading to time series breaks between 1999 and 2000",1,1,0,,,,
VEN,,,ex-post revision,2005,2012,,time series break between 2004 and 2005,,,,0,,,
VNM,,,data source change,1971,1990,,differing (unspecified) source <=1992,,,,,,,
VNM,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/1 estimated,,,,,,,1
VNM,,,data source change,1991,2012,,"differing source 1992 to 2015, including IEA estimates",,,,,,,
XKO,,,extrapolation,2000,2002,,year 2000 to 2002,,,,,,,1
XKO,,oil,real anomaly,2011,2011,,"time series break between 2010 and 2011, 2011 and 2012 because of few months operation of desulfurization unit in 2011",,,,,,,
XKO,,naturalgas,real anomaly,2011,2011,,"time series break between 2010 and 2011, 2011 and 2012 because of few months operation of desulfurization unit in 2011",,,,,,,
YEM,,allbutbiofuels,data source change,1971,1990,,differing source <=1990,,,,,,,
YEM,,allbutbiofuels,data source change,1991,2010,,"differing source 1991 to 2010, including IEA estimates",,,,,,,
YEM,,,extrapolation,1991,2010,,1/6 estimated,,,,,,,
YEM,,allbutbiofuels,data source change,2011,2012,,differing source 2011 to 2015,,,,,,,
YEM,,naturalgas,real anomaly,2012,2012,,"time series break between 2011 and 2012, 2012 and 2013 due to unrest in the country",,,,,,,
YEM,,oil,real anomaly,2012,2012,,"time series break between 2011 and 2012, 2012 and 2013 due to unrest in the country",,,,,,,
YUG,,,data source change,1971,1989,change data source,,,,,,,,
YUG,,,data availability,1990,2012,time series break,Reporting breaks in the early 1990s,,,,0,,,
YUG,,,extrapolation,1990,1991,estimated data,Most data for countries in former Yugoslavia estimated between 1990 and 1991,,,,,1,,1
YUG,,,data source change,1990,2012,change data source,data for individual countries in former Yugoslavia available starting in 1990,,,,,,,
ZAF,,allbutbiofuels,data source change,1971,1991,,differ source <=1991,,,,,,,
ZAF,,coal,extrapolation,1971,2012,estimated data,,,,,,,,1
ZAF,,,data source change,1992,2009,reporting regime,,,,,,,,
ZAF,,coal,data availability,2010,2012,,time series break between 2009 and 2010 because of new inclusion of coking coal and anthracite,,,,1,,,
ZAF,industrial,naturalgas,data availability,2010,2012,,time series break between 2009 and 2010,,,,0,,,
ZAF,,allbutbiofuels,data source change,2010,2012,,"differ source 2010 to 2015, including IEA estimates",,,,,,,
ZAF,,,extrapolation,2010,2012,estimated data,1/12 estimated,,,,,,,
ZMB,,biofuelsandwaste,extrapolation,1971,2012,,all years (based on 1991 data),,,,,,,1
ZMB,,,real anomaly,2000,2001,,time series break between 1999 and 2001 because sole oil refinery got fire damage,,,,,,,
ZMB,,,real anomaly,2001,2012,,time series break between 1999 and 2001 because sole oil refinery got fire damage,,,,,,,
ZWE,,allbutbiofuels,data source change,1971,1991,,differing source <=1991,,,,,,,
ZWE,,coal,extrapolation,1971,2012,limited data availability,data estimated for coal consumption,,,,0,,,
ZWE,,allbutbiofuels,data source change,1992,1995,,differing source 1992 to 1995,,,,,,,
ZWE,,allbutbiofuels,data source change,1996,2005,,"differing source 1996 to 2005, including IEA estimates",,,,,,,
ZWE,,,extrapolation,1996,2005,,1/8 estimated,,,,,,,
ZWE,,allbutbiofuels,data source change,2006,2012,,"differing source 2006 to 2015, including IEA estimates",,,,,,,
ZWE,,,extrapolation,2006,2012,,1/5 estimated,,,,,,,
ZWE,,,data availability,2009,2012,,time series break between 2008 and 2009,,,,0,,,
ZWE,,,ex-post revision,2011,2012,time series break,,,,,0,,,
ZWE,,coal,real anomaly,2011,2012,increase in supply,"new mining company opened in 2011, leading to increase in coal production",,,,,,,
IDN,,electricity,data source change,2000,2012,,time series break between 1999-2000,,,,,,,
ISL,industrial,heat,data availability,1990,2012,newly available data,heat consumption breakdown by sector available for these years,,,,0,,,
ISL,commercial,heat,data availability,1990,2012,newly available data,heat consumption breakdown by sector available for these years,,,,0,,,
IRL,commpub,naturalgas,data availability,1986,2012,,Year <1986. Detailed consumption figures for the use of natural gas in industry and other sectors not available,,,,1,,,
NOR,commpub,naturalgas,combined sectors,1971,1999,energy use included some final consumption,prior to 2000,1,1,0,,,,
CZE,resident,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,resident,biofuelsandwaste,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,resident,coal,methodology change,1971,2009,new survey causes break in residential consumption time series,coal consumption in the residential sector has been revised due to new survey data creating time series breaks between 2009 and 2010,,,,,,,
IRL,resident,naturalgas,data availability,1986,2012,,Year <1986. Detailed consumption figures for the use of natural gas in industry and other sectors not available,,,,1,,,
NOR,resident,naturalgas,combined sectors,1971,1999,energy use included some final consumption,prior to 2000,1,1,0,,,,
USA,resident,heat,combined sectors,1971,1990,reported under total consumption,"prior to 1991, total consumption of heat sold referred to consumption in commercial/public services",1,1,0,,,,
NOR,resident,naturalgas,combined sectors,1971,1999,energy use included some final consumption,prior to 2000,1,1,0,,,,
USA,totind,heat,combined sectors,1971,1990,reported under total consumption,"prior to 1991, total consumption of heat sold referred to consumption in commercial/public services",1,1,0,,,,
USA,totind,heat,combined sectors,1971,1990,reported under total consumption,"prior to 1991, total consumption of heat sold referred to consumption in commercial/public services",1,1,0,,,,
